dataset,seed,config,tau,precision,recall,f1,mcc,auprc,roc_auc,TP,FP,FN,TN,raw_cost,ece_out_of_sample_test
K,45,no_stage1_uniform,0.092,0.3494,0.8061,0.4875,0.5282,0.4777,0.9363,1729,3220,416,550354,7380,
K,45,no_stage2_spw,0.086,0.4014,0.7613,0.5257,0.5506,0.4978,0.9907,1633,2435,512,551139,7555,
K,45,baseline_no_anomaly,0.08,0.3925,0.7632,0.5184,0.545,0.5282,0.9915,1637,2534,508,551040,7614,0.00022
K,46,full,0.08,0.3647,0.8093,0.5028,0.5409,0.4395,0.9226,1736,3024,409,550550,7114,
K,46,no_stage1_uniform,0.074,0.3746,0.8033,0.5109,0.5462,0.4304,0.9256,1723,2877,422,550697,7097,
K,46,no_stage2_spw,0.054,0.3597,0.7786,0.492,0.5267,0.5433,0.991,1670,2973,475,550601,7723,
K,46,baseline_no_anomaly,0.092,0.3752,0.7818,0.507,0.5392,0.5437,0.992,1677,2793,468,550781,7473,0.00024
K,47,full,0.078,0.4051,0.7739,0.5318,0.5577,0.5751,0.9251,1660,2438,485,551136,7288,
K,47,no_stage1_uniform,0.074,0.3882,0.7869,0.5199,0.5505,0.5734,0.9323,1688,2660,457,550914,7230,
K,47,no_stage2_spw,0.08,0.36,0.7394,0.4843,0.5135,0.5256,0.9905,1586,2819,559,550755,8409,
K,47,baseline_no_anomaly,0.078,0.382,0.7739,0.5116,0.5414,0.5254,0.9916,1660,2685,485,550889,7535,0.00023
K,48,full,0.08,0.4066,0.7688,0.5318,0.5569,0.5361,0.9378,1649,2407,496,551167,7367,
K,48,no_stage1_uniform,0.082,0.3824,0.6984,0.4942,0.5144,0.532,0.9373,1498,2419,647,551155,8889,
K,48,no_stage2_spw,0.066,0.3698,0.7329,0.4916,0.5181,0.5413,0.9907,1572,2679,573,550895,8409,
K,48,baseline_no_anomaly,0.072,0.3751,0.7767,0.5059,0.5374,0.5445,0.9914,1666,2775,479,550799,7565,0.00024
K,49,full,0.068,0.3582,0.8117,0.497,0.5367,0.5515,0.9299,1741,3120,404,550454,7160,
K,49,no_stage1_uniform,0.084,0.3752,0.8042,0.5117,0.547,0.4597,0.9335,1725,2872,420,550702,7072,
K,49,no_stage2_spw,0.04,0.3345,0.7883,0.4697,0.5109,0.5471,0.9913,1691,3365,454,550209,7905,
K,49,baseline_no_anomaly,0.082,0.387,0.7716,0.5155,0.5442,0.5067,0.9913,1655,2621,490,550953,7521,0.00021
K,50,full,0.06,0.3293,0.8126,0.4687,0.5147,0.5567,0.9281,1743,3550,402,550024,7570,
K,50,no_stage1_uniform,0.086,0.3447,0.8065,0.483,0.5247,0.5476,0.9253,1730,3289,415,550285,7439,
K,50,no_stage2_spw,0.084,0.3696,0.7706,0.4996,0.5313,0.5478,0.9918,1653,2819,492,550755,7739,
K,50,baseline_no_anomaly,0.078,0.3615,0.7767,0.4933,0.5274,0.5219,0.991,1666,2943,479,550631,7733,0.00029
K,51,full,0.054,0.3095,0.8312,0.4511,0.5045,0.5378,0.9469,1783,3977,362,549597,7597,
K,51,no_stage1_uniform,0.046,0.3055,0.8312,0.4468,0.5012,0.5444,0.9455,1783,4053,362,549521,7673,
K,51,no_stage2_spw,0.084,0.2889,0.8149,0.4265,0.4823,0.4944,0.9905,1748,4303,397,549271,8273,
K,51,baseline_no_anomaly,0.078,0.3643,0.7697,0.4945,0.5271,0.4025,0.9896,1651,2881,494,550693,7821,0.00034
PS,42,full,0.002,0.9435,0.9955,0.9688,0.969,0.989,0.9997,3990,239,18,950146,419,
PS,42,no_stage1_uniform,0.002,0.9435,0.9955,0.9688,0.969,0.9886,0.9988,3990,239,18,950146,419,
PS,42,no_stage2_spw,0.086,0.9602,0.982,0.971,0.971,0.9941,0.9996,3936,163,72,950222,883,
PS,42,baseline_no_anomaly,0.068,0.9461,0.9978,0.9712,0.9714,0.9945,0.9997,3999,228,9,950157,318,0.00033
PS,43,full,0.088,0.952,0.989,0.9701,0.9702,0.9878,0.9994,3964,200,44,950185,640,
PS,43,no_stage1_uniform,0.064,0.95,0.9963,0.9726,0.9728,0.9918,0.9998,3993,210,15,950175,360,
PS,43,no_stage2_spw,0.002,0.9446,0.999,0.971,0.9713,0.9943,0.9996,4004,235,4,950150,275,
PS,43,baseline_no_anomaly,0.084,0.9604,0.9853,0.9727,0.9726,0.9937,0.9998,3949,163,59,950222,753,0.00033
PS,44,full,0.002,0.9437,0.9948,0.9685,0.9687,0.9886,0.9998,3987,238,21,950147,448,
PS,44,no_stage1_uniform,0.002,0.9435,0.9953,0.9687,0.9689,0.9889,0.9998,3989,239,19,950146,429,
PS,44,no_stage2_spw,0.068,0.9635,0.976,0.9698,0.9696,0.9939,0.9998,3912,148,96,950237,1108,
PS,44,baseline_no_anomaly,0.072,0.9476,0.9968,0.9715,0.9717,0.9943,0.9998,3995,221,13,950164,351,0.0004
