dataset,seed,n_cal_fraud,resample,target,achieved,alert_pct,degenerate
K,42,10,36,0.9,0.7249,0.5882,False
K,42,10,36,0.95,0.7249,0.5882,False
K,42,10,37,0.8,0.8191,0.9188,False
K,42,10,37,0.9,0.8191,0.9188,False
K,42,10,37,0.95,0.8191,0.9188,False
K,42,10,38,0.8,0.7907,0.7806,False
K,42,10,38,0.9,0.7907,0.7806,False
K,42,10,38,0.95,0.7907,0.7806,False
K,42,10,39,0.8,0.9888,82.6905,True
K,42,10,39,0.9,0.9888,82.6905,True
K,42,10,39,0.95,0.9888,82.6905,True
K,42,15,0,0.8,0.8867,15.8278,False
K,42,15,0,0.9,0.9888,82.6905,True
K,42,15,0,0.95,0.9888,82.6905,True
K,42,15,1,0.8,0.8191,0.9188,False
K,42,15,1,0.9,0.9021,20.9475,False
K,42,15,1,0.95,0.9021,20.9475,False
K,42,15,2,0.8,0.8867,15.8278,False
K,42,15,2,0.9,0.9417,41.3979,False
K,42,15,2,0.95,0.9417,41.3979,False
K,42,15,3,0.8,0.8867,15.8278,False
K,42,15,3,0.9,0.8867,15.8278,False
K,42,15,3,0.95,0.8867,15.8278,False
K,42,15,4,0.8,0.9417,41.3979,False
K,42,15,4,0.9,0.9888,82.6905,True
K,42,15,4,0.95,0.9888,82.6905,True
K,42,15,5,0.8,0.7249,0.5882,False
K,42,15,5,0.9,0.9021,20.9475,False
K,42,15,5,0.95,0.9021,20.9475,False
K,42,15,6,0.8,0.8191,0.9188,False
K,42,15,6,0.9,0.8331,1.0505,False
K,42,15,6,0.95,0.8331,1.0505,False
K,42,15,7,0.8,0.8867,15.8278,False
K,42,15,7,0.9,0.8867,15.8278,False
K,42,15,7,0.95,0.8867,15.8278,False
K,42,15,8,0.8,0.8867,15.8278,False
K,42,15,8,0.9,0.9417,41.3979,False
K,42,15,8,0.95,0.9417,41.3979,False
K,42,15,9,0.8,0.7907,0.7806,False
K,42,15,9,0.9,0.8331,1.0505,False
K,42,15,9,0.95,0.8331,1.0505,False
K,42,15,10,0.8,0.9417,41.3979,False
K,42,15,10,0.9,0.9888,82.6905,True
K,42,15,10,0.95,0.9888,82.6905,True
K,42,15,11,0.8,0.8867,15.8278,False
K,42,15,11,0.9,0.9417,41.3979,False
K,42,15,11,0.95,0.9417,41.3979,False
K,42,15,12,0.8,0.8867,15.8278,False
K,42,15,12,0.9,0.8867,15.8278,False
K,42,15,12,0.95,0.8867,15.8278,False
K,42,15,13,0.8,0.7907,0.7806,False
K,42,15,13,0.9,0.8867,15.8278,False
K,42,15,13,0.95,0.8867,15.8278,False
K,42,15,14,0.8,0.9021,20.9475,False
K,42,15,14,0.9,0.9888,82.6905,True
K,42,15,14,0.95,0.9888,82.6905,True
K,42,15,15,0.8,0.7907,0.7806,False
K,42,15,15,0.9,0.9888,82.6905,True
K,42,15,15,0.95,0.9888,82.6905,True
K,42,15,16,0.8,0.765,0.6932,False
K,42,15,16,0.9,0.9417,41.3979,False
K,42,15,16,0.95,0.9417,41.3979,False
K,42,15,17,0.8,0.9888,82.6905,True
K,42,15,17,0.9,0.9888,82.6905,True
K,42,15,17,0.95,0.9888,82.6905,True
K,42,15,18,0.8,0.8331,1.0505,False
K,42,15,18,0.9,0.9888,82.6905,True
K,42,15,18,0.95,0.9888,82.6905,True
K,42,15,19,0.8,0.8867,15.8278,False
K,42,15,19,0.9,0.9417,41.3979,False
K,42,15,19,0.95,0.9417,41.3979,False
K,42,15,20,0.8,0.9888,82.6905,True
K,42,15,20,0.9,1.0,100.0,True
K,42,15,20,0.95,1.0,100.0,True
K,42,15,21,0.8,0.8359,1.0907,False
K,42,15,21,0.9,0.9888,82.6905,True
K,42,15,21,0.95,0.9888,82.6905,True
K,42,15,22,0.8,0.9026,21.0347,False
K,42,15,22,0.9,0.9888,82.6905,True
K,42,15,22,0.95,0.9888,82.6905,True
K,42,15,23,0.8,0.8266,0.9906,False
K,42,15,23,0.9,0.8867,15.8278,False
K,42,15,23,0.95,0.8867,15.8278,False
K,42,15,24,0.8,0.8867,15.8278,False
K,42,15,24,0.9,0.8867,15.8278,False
K,42,15,24,0.95,0.8867,15.8278,False
K,42,15,25,0.8,0.9888,82.6905,True
K,42,15,25,0.9,0.9888,82.6905,True
K,42,15,25,0.95,0.9888,82.6905,True
K,42,15,26,0.8,0.9888,82.6905,True
K,42,15,26,0.9,1.0,100.0,True
K,42,15,26,0.95,1.0,100.0,True
K,42,15,27,0.8,0.7907,0.7806,False
K,42,15,27,0.9,0.9417,41.3979,False
K,42,15,27,0.95,0.9417,41.3979,False
K,42,15,28,0.8,0.9417,41.3979,False
K,42,15,28,0.9,0.9888,82.6905,True
K,42,15,28,0.95,0.9888,82.6905,True
K,42,15,29,0.8,0.765,0.6932,False
K,42,15,29,0.9,0.9417,41.3979,False
K,42,15,29,0.95,0.9417,41.3979,False
K,42,15,30,0.8,0.7249,0.5882,False
K,42,15,30,0.9,0.8191,0.9188,False
K,42,15,30,0.95,0.8191,0.9188,False
K,42,15,31,0.8,0.8867,15.8278,False
K,42,15,31,0.9,0.9417,41.3979,False
K,42,15,31,0.95,0.9417,41.3979,False
K,42,15,32,0.8,0.8079,0.8425,False
K,42,15,32,0.9,0.9021,20.9475,False
K,42,15,32,0.95,0.9021,20.9475,False
K,42,15,33,0.8,0.9888,82.6905,True
K,42,15,33,0.9,0.9888,82.6905,True
K,42,15,33,0.95,0.9888,82.6905,True
K,42,15,34,0.8,0.9417,41.3979,False
K,42,15,34,0.9,0.9888,82.6905,True
K,42,15,34,0.95,0.9888,82.6905,True
K,42,15,35,0.8,0.9417,41.3979,False
K,42,15,35,0.9,0.9888,82.6905,True
K,42,15,35,0.95,0.9888,82.6905,True
K,42,15,36,0.8,0.9417,41.3979,False
K,42,15,36,0.9,0.9417,41.3979,False
K,42,15,36,0.95,0.9417,41.3979,False
K,42,15,37,0.8,0.8867,15.8278,False
K,42,15,37,0.9,0.9888,82.6905,True
K,42,15,37,0.95,0.9888,82.6905,True
K,42,15,38,0.8,0.8266,0.9906,False
K,42,15,38,0.9,0.9417,41.3979,False
K,42,15,38,0.95,0.9417,41.3979,False
K,42,15,39,0.8,0.7249,0.5882,False
K,42,15,39,0.9,0.9026,21.0347,False
K,42,15,39,0.95,0.9026,21.0347,False
K,42,20,0,0.8,0.7907,0.7806,False
K,42,20,0,0.9,0.8867,15.8278,False
K,42,20,0,0.95,0.8867,15.8278,False
K,42,20,1,0.8,0.8191,0.9188,False
K,42,20,1,0.9,0.9888,82.6905,True
K,42,20,1,0.95,0.9888,82.6905,True
K,42,20,2,0.8,0.8359,1.0907,False
K,42,20,2,0.9,0.9888,82.6905,True
K,42,20,2,0.95,0.9888,82.6905,True
K,42,20,3,0.8,0.8867,15.8278,False
K,42,20,3,0.9,0.9888,82.6905,True
K,42,20,3,0.95,0.9888,82.6905,True
K,42,20,4,0.8,0.8867,15.8278,False
K,42,20,4,0.9,0.9888,82.6905,True
K,42,20,4,0.95,0.9888,82.6905,True
K,42,20,5,0.8,0.8867,15.8278,False
K,42,20,5,0.9,0.9888,82.6905,True
K,42,20,5,0.95,0.9888,82.6905,True
K,42,20,6,0.8,0.8867,15.8278,False
K,42,20,6,0.9,0.9888,82.6905,True
K,42,20,6,0.95,0.9888,82.6905,True
K,42,20,7,0.8,0.7249,0.5882,False
K,42,20,7,0.9,0.9888,82.6905,True
K,42,20,7,0.95,0.9888,82.6905,True
K,42,20,8,0.8,0.8266,0.9906,False
K,42,20,8,0.9,0.8867,15.8278,False
K,42,20,8,0.95,0.8867,15.8278,False
K,42,20,9,0.8,0.7249,0.5882,False
K,42,20,9,0.9,0.9021,20.9475,False
K,42,20,9,0.95,0.9021,20.9475,False
K,42,20,10,0.8,0.8331,1.0505,False
K,42,20,10,0.9,0.9417,41.3979,False
K,42,20,10,0.95,0.9417,41.3979,False
K,42,20,11,0.8,0.7249,0.5882,False
K,42,20,11,0.9,0.8266,0.9906,False
K,42,20,11,0.95,0.8266,0.9906,False
K,42,20,12,0.8,0.765,0.6932,False
K,42,20,12,0.9,0.9888,82.6905,True
K,42,20,12,0.95,0.9888,82.6905,True
K,42,20,13,0.8,0.8867,15.8278,False
K,42,20,13,0.9,0.9888,82.6905,True
K,42,20,13,0.95,0.9888,82.6905,True
K,42,20,14,0.8,0.8079,0.8425,False
K,42,20,14,0.9,0.9888,82.6905,True
K,42,20,14,0.95,0.9888,82.6905,True
K,42,20,15,0.8,0.9417,41.3979,False
K,42,20,15,0.9,0.9888,82.6905,True
K,42,20,15,0.95,0.9888,82.6905,True
K,42,20,16,0.8,0.7907,0.7806,False
K,42,20,16,0.9,0.9888,82.6905,True
K,42,20,16,0.95,0.9888,82.6905,True
K,42,20,17,0.8,0.9417,41.3979,False
K,42,20,17,0.9,0.9888,82.6905,True
K,42,20,17,0.95,0.9888,82.6905,True
K,42,20,18,0.8,0.7907,0.7806,False
K,42,20,18,0.9,0.9888,82.6905,True
K,42,20,18,0.95,0.9888,82.6905,True
K,42,20,19,0.8,0.8867,15.8278,False
K,42,20,19,0.9,0.9888,82.6905,True
K,42,20,19,0.95,0.9888,82.6905,True
K,42,20,20,0.8,0.9417,41.3979,False
K,42,20,20,0.9,0.9888,82.6905,True
K,42,20,20,0.95,0.9888,82.6905,True
K,42,20,21,0.8,0.765,0.6932,False
K,42,20,21,0.9,0.9021,20.9475,False
K,42,20,21,0.95,0.9021,20.9475,False
K,42,20,22,0.8,0.765,0.6932,False
K,42,20,22,0.9,0.9021,20.9475,False
K,42,20,22,0.95,0.9021,20.9475,False
K,42,20,23,0.8,0.8867,15.8278,False
K,42,20,23,0.9,0.9417,41.3979,False
K,42,20,23,0.95,0.9417,41.3979,False
K,42,20,24,0.8,0.8191,0.9188,False
K,42,20,24,0.9,0.9021,20.9475,False
K,42,20,24,0.95,0.9021,20.9475,False
K,42,20,25,0.8,0.9888,82.6905,True
K,42,20,25,0.9,0.9888,82.6905,True
K,42,20,25,0.95,0.9888,82.6905,True
K,42,20,26,0.8,0.7907,0.7806,False
K,42,20,26,0.9,0.8867,15.8278,False
K,42,20,26,0.95,0.8867,15.8278,False
K,42,20,27,0.8,0.9021,20.9475,False
K,42,20,27,0.9,0.9888,82.6905,True
K,42,20,27,0.95,0.9888,82.6905,True
K,42,20,28,0.8,0.8867,15.8278,False
K,42,20,28,0.9,0.9417,41.3979,False
K,42,20,28,0.95,0.9417,41.3979,False
K,42,20,29,0.8,0.9417,41.3979,False
K,42,20,29,0.9,1.0,100.0,True
K,42,20,29,0.95,1.0,100.0,True
K,42,20,30,0.8,0.8867,15.8278,False
K,42,20,30,0.9,0.9417,41.3979,False
K,42,20,30,0.95,0.9417,41.3979,False
K,42,20,31,0.8,0.9417,41.3979,False
K,42,20,31,0.9,0.9888,82.6905,True
K,42,20,31,0.95,0.9888,82.6905,True
K,42,20,32,0.8,0.765,0.6932,False
K,42,20,32,0.9,0.9888,82.6905,True
K,42,20,32,0.95,0.9888,82.6905,True
K,42,20,33,0.8,0.8867,15.8278,False
K,42,20,33,0.9,0.9888,82.6905,True
K,42,20,33,0.95,0.9888,82.6905,True
K,42,20,34,0.8,0.8867,15.8278,False
K,42,20,34,0.9,0.9021,20.9475,False
K,42,20,34,0.95,0.9021,20.9475,False
K,42,20,35,0.8,0.8867,15.8278,False
K,42,20,35,0.9,1.0,100.0,True
K,42,20,35,0.95,1.0,100.0,True
K,42,20,36,0.8,0.8191,0.9188,False
K,42,20,36,0.9,0.9417,41.3979,False
K,42,20,36,0.95,0.9417,41.3979,False
K,42,20,37,0.8,0.765,0.6932,False
K,42,20,37,0.9,0.8191,0.9188,False
K,42,20,37,0.95,0.8191,0.9188,False
K,42,20,38,0.8,0.765,0.6932,False
K,42,20,38,0.9,0.8867,15.8278,False
K,42,20,38,0.95,0.8867,15.8278,False
K,42,20,39,0.8,0.765,0.6932,False
K,42,20,39,0.9,0.8191,0.9188,False
K,42,20,39,0.95,0.8191,0.9188,False
K,42,25,0,0.8,0.7907,0.7806,False
K,42,25,0,0.9,0.9888,82.6905,True
K,42,25,0,0.95,0.9888,82.6905,True
K,42,25,1,0.8,0.7907,0.7806,False
K,42,25,1,0.9,0.9417,41.3979,False
K,42,25,1,0.95,0.9417,41.3979,False
K,42,25,2,0.8,0.9417,41.3979,False
K,42,25,2,0.9,0.9888,82.6905,True
K,42,25,2,0.95,0.9888,82.6905,True
K,42,25,3,0.8,0.8331,1.0505,False
K,42,25,3,0.9,0.9888,82.6905,True
K,42,25,3,0.95,0.9888,82.6905,True
K,42,25,4,0.8,0.8867,15.8278,False
K,42,25,4,0.9,0.9888,82.6905,True
K,42,25,4,0.95,0.9888,82.6905,True
K,42,25,5,0.8,0.8079,0.8425,False
